block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,SEC_PREAMBLE,2025-08-01 00:00:00 EST,80b6536b095f03156c5b2ab3be83c556f5bd8fc8041c36d4538f94af4f63e9bc,0000000000000000000000000000000000000000000000000000000000000000,eed69ac387e89ee750ed07b190f9949a90fc406def29ac16b1a71e3928961a8f
1,EXECUTIVE_SUMMARY,2025-08-01 00:00:00 EST,d7c914f1eee92afa91d7d669e4dfce43fec21199c401a29207339faa01321d62,eed69ac387e89ee750ed07b190f9949a90fc406def29ac16b1a71e3928961a8f,f29f65a8b638d1378d50081f00393d9fd19d84ca7ce65f6e2ba18cde5f8be771
2,KEY_IDENTIFIED_ENTITIES_NODES,2025-08-01 00:00:00 EST,97919a8b1b11780b6eecb186e5f6823950846cf2467d9ce0c49c434288883e9e,f29f65a8b638d1378d50081f00393d9fd19d84ca7ce65f6e2ba18cde5f8be771,c3a18588e2597de1244565f65d33ef8d099dd43cca067d299a7b97f9d3922be5
3,CHRONOLOGY_OF_EVENTS__LOGS,2025-08-01 00:00:00 EST,337a69bc1cebc8cdd4871817368006f757c845e972984a4e41ba49f6b9516952,c3a18588e2597de1244565f65d33ef8d099dd43cca067d299a7b97f9d3922be5,1bd7106695ea0a3406eb12bff040dbd0b0809c16798a883724bef6c41137c90c
4,NETWORK_EDGE_LIST_FOR_GRAPH_INGESTION,2025-08-01 00:00:00 EST,2e9250b354b48039707be0756edd4ac06734c9025156fcc05b093b24c541bf74,1bd7106695ea0a3406eb12bff040dbd0b0809c16798a883724bef6c41137c90c,27329232379f1d3cf39f7675ae6ade1bd28a08e8dae60c34c8cebd98eb9f5451
